Date,MainPoints,No_of_Units,Month,Year,Whole
1/20/2014,"Explainer INTERROGATED,SENT EMPLOYEE OF GASTECH,evident confusion,Kronos. Vann,GAStech,POK,Elodis.,Abila,POK,Hardly,Vann,GAStech,inexplicable ones",1,14-Jan,2014,"There are relationships that the civil employees of the airport have confirmed the arrival of a classified jet from Tethys.  Several passengers have left in an attending limousine.  The reporter they have followed the limousine, that he has guided directly to the centers of the police of Abila. 20 gen. 2014The Tulip"
3/26/2014,"Everyday,March,famous race,Mediterranean,gold cup coveted.,presidential boat,present president,Karel Kapelou II,Kronos,Cold,presidential container,small motor,Kronos,white emblem,Petra Hohimae,Kronos.,official word.,presidential office,Kapalou,international dignitaries",1,14-Mar,2014,"ABILA, Kronos - with a meeting to fix tomorrow to 8, the recent initial public offer, and the CEO Sten Sanjorge, Jr in reporters of the city will be descendant in the headquarters of GAStech - of Kronos in droves with a pile of questions. The post of Abila will send Haneson Ngohebo, ignited writer of the Blog scene, to blog alive the event with the hopes to obtain Sanjorge, the Jr and to group of its direction of GAStech - of Kronos to comment with respect to the IPO, to its recent falls of the wind, and to the plans of GAStech for Kronos."
1/20/2014,"Athena Speaks,AIRPORT,ABILA CONFIRMS TWO PRIVATE TRAVELS OUT OF LEFT JET TODAY,ABILA,Kronos,Ravi Danisliau,Abila,According,Danisliau,businesses types,local time,Kronos,businesses type,Danisliau,Danisliau,Rome,Italy.,private ones travels,Abila,momentary ones.,GAStech,Kronos.,GAStech Danisliau",1,14-Jan,2014,"ABILA, Kronos - after annual gAStech-Kronos the collective staff employees of vergaderings GAStech and different high-ranking government Kronos the civil servants a soiree on the head bldg. will attend Kronos to celebrate delivered kleptocracy which kept public civil servants have Kronos in lord houses and luxevoertuigen. We look forward to us hearing what president Kapelou II and CEO Sten Sanjorge Jr. one has come concerning how must say these unholy alliance to the citizens of Kronos at good.  "
1/21/2014,"Online,RANSOM DEMANDS MADE IN GASTECH KIDNAPPING,ABILA,Kronos,Protectors,Kronos,GAStech,International employees,ransom demand,$ 20M,CEO Sten Sanjorge,Jr",1,14-Jan,2014,"ABILA, Kronos - with a meeting to fix tomorrow to 8, the recent initial public offer, and the CEO Sten Sanjorge, Jr in reporters of the city will be descendant in the headquarters of GAStech - of Kronos in droves with a pile of questions. The post of Abila will send Haneson Ngohebo, ignited writer of the Blog scene, to blog alive the event with the hopes to obtain Sanjorge, the Jr and to group of its direction of GAStech - of Kronos to comment with respect to the IPO, to its recent falls of the wind, and to the plans of GAStech for Kronos."
3/26/2014,"Everyday,News 2014/03/26",1,14-Mar,2014,"ABILA, Kronos - after annual gAStech-Kronos the collective staff employees of vergaderings GAStech and different high-ranking government Kronos the civil servants a soiree on the head bldg. will attend Kronos to celebrate delivered kleptocracy which kept public civil servants have Kronos in lord houses and luxevoertuigen. We look forward to us hearing what president Kapelou II and CEO Sten Sanjorge Jr. one has come concerning how must say these unholy alliance to the citizens of Kronos at good.  "
1/19/2014,"Truth GAStech,Kronos,company 2014/01/19",1,14-Jan,2014,"AVILA, Kronos - after a long day to be in conflict and the confused information of information continue being incompletos, only history is beginning to come clearly: a source of the government of Kronos has confirmed up to fourteen of GAStech that the international employees could be kidnapped in the headquarters of the company in Avila. 
It continues being much speculation with respect who was taken in the kidnapping. The speculation includes if or international president of GAStech and jr. of the CEO Sten Sanjorge were not the target since international GAStech still must make a declaration to the speculation of the pressure on the motivation behind the kidnapping also has been wild due to recent GAStech IPO. 
In this time nobody has demanded the responsibility of the kidnapping. Edvard Vann, a GAStech - they suspected to the protector security of Kronos that was interrogated and sent after 6 hours, indicated the protectors of Kronos like being the authors behind today events.
An international executive of the greater security of GAStech has been in the site to support the investigation, helping to the department of the police of Avila and to the officials of the government of Kronos. The 20 of January were annual corporative meeting of GAStech. In a certain point whereas the company officials transitioning of the main office to a reception of the government of Kronos the abductions happened. The information without confirming of a fire in the office could have served like distraction kidnapping them or at least to have contributed to the confusion during the event. The cars of the body of firemen of Avila were sent to the headquarters of GAStech - of Kronos around 10:00 this local time of Kronos in the morning to respond to a fire alarm.
"
1/21/2014,"Continent,GASTech,Kronos,Kronos,radical environment terrorist group,collective collecting.,civil servants,Kronos. Communicated,CEO Sten Sanjorge Jr,CFO Ingrid Barranco,CIO Ada,COO Orhan Strum,civil servant,Willem Vasco-Pais,GAStech.,local nieuwsorganisaties,ransom note,POK,company requires.,possible extra requirements,Sanjorge,Council meeting,GASTech.,fire alarm,complete list,unaccounted-for employees,John Rathburn,American expert,executive removals,Tethys,Kronos,archetypisch country,Nochtans,POK,APA,Asterian,risk others.,correspondence clerk,Abila,GASTech,telephone conversations,local authorities.,collective comment hoofdkwartier,GASTech,Tethys,Tethys,federal civil servants,law enforcement,Tethan,foreign affairs,Kronos,police force",1,14-Jan,2014,"ABILA, Kronos - For roughly 6 hours GAStech - Kronos employee Edvard Vann was interrogated by Kronos Police and Government officials before being released at 17:00 this evening. The apparent confusion stems from the similarity between his name and that of a Protector of Kronos member. 

 

Vann, a security guard for GAStech, was furious, stating, ""I have nothing to do whatsoever with any members of the terrorist group POK. I was born here in Abila and I support my government and my president. Being accused and being interrogated for 6 hours as a terrorist POK member is one of the worst days of my life. With some 14 GAStech employees still unaccounted for, one cannot blame the police or the government for not leaving any stone unturned.
"
1/19/2014,"Desk MEETING WHO IS PLACED FOR THE MORNING OF MORNING,ABILA,Kronos,recent initial public,CEO Sten,Sanjorge,Jr.,town report donors,GAStech,Kronos,questions. News,Desk Haneson Ngohebo,Blog,Sanjorge,Jr.,GAStech,Kronos,control group,IPO,recent wind,GAStech,Kronos",1,14-Jan,2014,"ABILA, Kronos - Miriam Avila, an administrative assistant at international GAStech, confirmed that the members of the control of GAStech in fact miss. One expected that arrives at the reception of government following the meeting of this morning to the registered offices of GAStech - of Kronos, but was never revealed the group. Mrs. Avila denied that any employee of GAStech was removed. She also denied that they had simply jumped the city with their richness recently discovered. While the world brought back on December 16, 2013, the public call to the saving initial recent international of GAStech (IPO) produced Net Sten St. George, Jr. by $1.96 eye-jumping billion for its part control of international company of drilling and exploration of gas. 
GAStech - the control of Kronos was also liberally rewarded. The classifications of IPO prove that the executive group gained of the $327.25 collective million of the lately invested shares including/understanding $96.25 million for CFO Ingrid Barranco, Campo-Corrente of ADA of CIO, and the ROUCOULEMENT Orhan pianotent. The environmental adviser of safety Willem Vasco-Feed also gained $38.5 million.
"
1/21/2014,"Worldwise,police force,GAStech,ABILA,Kronos,police force,Abila,press conference,GAStech.,GAStech,federal agencies,Carman,Adrien Tethyn,police force contribute,POK,ransom demand.,POK",1,14-Jan,2014,"There is motionless speculation concerning which was taken in kidnapping and if president de GAStech and Jr. of Sten St. George of PRESIDENT were the target, since international GAStech has to still submit a report/ratio with the speculation of pressure about the reasons for the kidnappers was due unrestrained to the recent news of the public call to the saving initial of GAStech only one month ago."
1/21/2014,"International News,Hold,News Conference,GAStech Kidnapping,ABILA,Kronos,Abila,press conference,GAStech,GAStech,Adrien Carman,Tethyn,federal law enforcement agencies,POK",1,14-Jan,2014,"GAStech sent officials from its home office in Centrum, Tethys to help police handle the incident.  Tethyn federal law enforcement and representatives from the Tethyn Ministry of Foreign affairs flew to Kronos and were escorted to Abila police headquarters."
3/26/2014,"World Journal,PRESIDENT,Kronos,January,Fluss,PRESIDENT,GAStech,principal industry,Krono,immense gas layers,Elodis. Fluss,humble beginnings,oil prospector,Tethys.,Kronos,Q,Kronos,economic environment,Eighties.,easy victory,Kronos. Competition,Kronosian,foreign companies,Kronosian,Tethian,Kronos,effective communication,gifted chief.,foreign chief,Kronosian,Q,cultural differences,communicating. [,] notes.,note [,Kronos,simple response,initial question.,Kronos,Transparency,excellent manner,European value,Kronosians,sensitive to.,foreign President,Kronos,Q,PRESIDENT,Kronos,great direction,Kronos,driver drops,address envisaged.,small question,Kronos.,new environment,Q,PRESIDENT,new environment,personal life.,current here.,Kronos,Tethys,clear border,hard competition,great question. [,] anyhow,true experiment,Kronos,astonish you.,Q,PRESIDENT,Kronos,PRESIDENT,personal life.,Kronos,PRESIDENT,overseas suppose,Q,foreign director,Net handicap.,certain negotiations,certain questions,PRESIDENT,tangible asset",1,14-Mar,2014,"ABILA, Kronos - Miriam Avila, an administrative assistant at GAStech International, has confirmed that members of the GAStech leadership are in fact missing. The group was expected to arrive at the Government reception following this morning's meeting at GAStech - Kronos headquarters, but never showed up. Ms. Avila denied that any GAStech employee has been abducted. She also denied that they had simply skipped town with their newfound riches."
1/20/2014,"International News,POK Kidnaps GAStech Employees,ABILA,Kronos,Protectors,Kronos,POK,GAStech,headquarters building,Abila,GAStech,Edvard Vann,Abila,family name,POK,Vann,POK,Tethyn,federal law enforcement,Tethyn Ministry,Foreign affairs,Kronos,Abila,police headquarters",1,14-Jan,2014,"MODERNIZATION 2021 - a civil employee of government of Kronos that has asked not to be identified but was present to the government reception has gone on declaring record, ""the investigators are working around to the clock in order assessing that she employs it to you robs to you of GAStech are finds to you and that the perpetrators they are capacities to justice.""
That is the first confirmation that odierni events that encircle GAStech - Kronos is in effects a kidnapping. With fourteen still inspiegati individuals, to this point, the presupposed one is that all are the victims of a kidnapping.
No group has come in ahead still demanding the responsibility neither to have all the demands made.The Explainer
"
1/20/2014,"Online,KIDNAPPING AT GASTECH KRONOS,ABILA,Kronos,long day,information reports,Kronos,Government source,GAStech,International 's employees,company 's headquarters,Abila. Abila,Fire Department trucks,GAStech,Kronos,morning local,Kronos,fire alarm",1,14-Jan,2014,"ABILA, Kronos - the fueler Ravi Danisliau of airport of Abila confirmed that two deprived voyage out of jet separated today after being filled with fuel.  According to Danisliau, the seven or eight passengers of the first plane were ""businesses types"" and seemed to be in a hurry. It was not exactly clear where they were directed. The plane took off about local time of Kronos 12:30. The second plane also carried seven or eight ""of the businesses type"", but seemed ""more slackened much than the first group of passengers"". Danisliau indicated the second group of passengers ""seemed to celebrate something."" The second plane left towards 14:30 around two hours after the first plane. Danisliau confirmed that the second destination of the plane was Rome, Italy. Between the two private ones travels out of jet that left the people the airport of Abila fourteen to sixteen could have been of the momentary ones. This easily could explain the control of GAStech - Kronos. 
Once asked whether the two planes had anything to make with GAStech Danisliau international answered, ""I do not pose many the questions. I filled of fuel right planes."" 
"
1/21/2014,"Who,RANSOM DEMANDS MADE IN GASTECH KIDNAPPING,ABILA,Kronos,Protectors,Kronos,GAStech,International employees,ransom demand,$ 20M,CEO Sten Sanjorge,Jr.,Sanjorge,Jr.,Protectors,Kronos,Elodis,rural township,Abila.,clean water,human rights,Kronos,GAStech",1,14-Jan,2014,"ABILA, Kronos - The Protectors of Kronos (POK) are suspected of kidnapping up to fourteen GAStech employees from their headquarters building earlier today.  Abila police quickly secured the building and interviewed the remaining GAStech employees.  One employee, Edvard Vann of Abila, was questioned for hours because he shares a family name with several known POK members.  Vann denied involvement with the POK and claimed to have no knowledge of the kidnapping.  Tethyn federal law enforcement and representatives from the Tethyn Ministry of Foreign affairs flew to Kronos and were escorted to Abila police headquarters."
1/20/2014,"Explainer THE ABILA AIRPORT TODAY CONFIRMS TWO JETS DEPRIVED TO THE LEFT,ABILA,Kronos,Ravi Danisliau,Abila,According,Danisliau,business type,local time,Kronos,Background,business types,Danisliau,similar passengers,Background,Danisliau,Rome,Italy.,Abila,GAStech,Kronos.,GAStech,Danisliau,Hardly",1,14-Jan,2014,"January 20th was GAStech's annual corporate meeting with a Kronos Government reception to follow. Shortly after the morning meeting ended at 10:00, Abila Fire Department trucks responded to reports of a fire at the GAStech office."
1/21/2014,"Online,GAStech,Sanjorge Escapes Kidnapping,GAStech HQ,ABILA,Kronos,According,press conference,GAStech,Centrum,Tethys,GAStech,'s President,CEO,Sten Sanjorge Jr. Sanjorge,corporate meeting,GAStech",1,14-Jan,2014,"1515 - BREAKING NEWS - Homeland Illumination correspondent Petrus Gerhard has just spoken with an airport official who confirms that a private jet left Abila airport at 1430, with a number of persons on board.  Reports that the GAStech executives were passengers on this jet are unconfirmed. 20 Jan 2014The Abila Post"
1/19/2014,"Online,CELEBRATION OF UNFETTERED KLEPTOCRACY,ABILA,Kronos,Following,GAStech-Kronos,corporate meeting,GAStech,Kronos,government officials,Kronos,capital building,Kronos,public officials,luxury vehicles",1,14-Jan,2014,"ABILA, Kronos - A long tense day of conflicting reports and confusing information has come to an end. What we know for certain is that 14 GAStech employees are not only missing, but kidnapped as confirmed by a Kronos Government source. At this time it is unclear who the missing are and whether they are citizens of Kronos of Tethys, as many GAStech employees are Tethan. There is still speculation regarding who was taken in the kidnapping and whether GAStech President and CEO Sten Sanjorge Jr. was the target, given that GAStech International has yet to make a statement to the press. Speculation about the motives of the kidnappers has been rampant due to the recent news of the GAStech Initial Public Offering only a month ago. At this time no one has claimed responsibility for the kidnapping. Edvard Vann, a GAStech - Kronos security guard who was interrogated and released after 6 hours, gave the indication that the Protectors of Kronos were involved or at least suspected as being the perpetrators behind today's events."
1/21/2014,"Guide,GAStech,ABILA,Kronos,Abila,press conference,GAStech,GAStech,federal agencies,Carman,Adrien Tethyn,POK,demand credit,POK,violent anarchist",1,14-Jan,2014,"ABILA, Kronos - in what described only as an operation of terrorism multiple international employees are possible GAStech to be taken in koperachtige a day slightly irruption of the hoofdkwartier of GAStech Kronos. The early reports of government of civil servants indicate Kronos on 14 people such as missing are mentioned. "
1/21/2014,"World Journal,Employees,GASTech,Kronos,Kronos,radical environmental group,executive leaders,Kronos,Disappeared,PRESIDENT Sten Sanjorge Jr,CFO Ingrid Barranco,Campo-Corrente,ADA,CIO,ROUCOULEMENT Orhan,GAStech,environmental leader,Willem Vasco-Feed.,local organizations,POK,possible additional requests,Sanjorge,GASTech.,list supplements,John Rathburn,American expert,executive kidnappings,Tethys,Kronos,archetypal country,POK,APA,popular army,Asterian,Corresponding,Abila,GASTech,local authorities concerned.,GASTech,Tethys,comment on.,Tethys,federal civils servant,Tethan,Kronos,police force",1,14-Jan,2014,"ABILA, Kronos - The Protectors of Kronos (POK) are suspected of kidnapping up to fourteen GAStech employees from their headquarters building earlier today.  One employee, Edvard Vann of Abila, was questioned for hours because he shares a family name with several known POK members."
1/20/2014,"Explainer TO BECOME INVOLVED FOR ABOVE OF EVENTS IN GASTECH,ABILA,Kronos,long tense day,GAStech,Kronos.,Kronos,Tethys,GAStech,Tethan.,immovable speculation,GAStech,CEO Sten Sanjorge,GAStech,recent news,initial public,GAStech,Edvard Vann,GAStech,Kronos,Kronos,international executive,GAStech,Abila,Kronos.,January,annual corporative meeting,GAStech,Kronos,Abila,GAStech",1,14-Jan,2014,"ABILA, Kronos - For roughly 6 hours GAStech - Kronos employee Edvard Vann was interrogated by Kronos Police and Government officials before being released at 17:00 this evening. The apparent confusion stems from the similarity between his name and that of a Protector of Kronos member. "
1/19/2014,"Online,GAStech,Kronos Celebrate Partnership,ABILA,Kronos,GAStech,Ingrid Barranco,Ada Campo-Corrente,Orhan Strum,Willem Vasco-Pais,government officials,business meeting,headquarters building",1,14-Jan,2014,"ABILA, Kronos - The Protectors of Kronos (POK) are suspected of kidnapping up to fourteen GAStech employees from their headquarters building earlier today.  Abila police quickly secured the building and interviewed the remaining GAStech employees.  One employee, Edvard Vann of Abila, was questioned for hours because he shares a family name with several known POK members.  Vann denied involvement with the POK and claimed to have no knowledge of the kidnapping.  The POK has made no statements regarding the kidnapping."
1/20/2014,"Desk REMOVAL AT HOOFDKWARTIER GASTECH,ABILA,Kronos,multiple international employees,GAStech,GAStech Kronos.,early reports,civil servants,Kronos,official credit,GAStech,international gasbedrijf,aid supplies job,Kronos",1,14-Jan,2014,"ABILA, Kronos - After a long day of conflicting and confusing information reports are still sketchy, but the story is beginning to come clear: a Kronos Government source has confirmed up to fourteen of GAStech International's employees may have been kidnapped at the company's headquarters in Abila. 

Much speculation remains regarding who was taken in the kidnapping. Speculation includes whether or not GAStech International President and CEO Sten Sanjorge Jr. was the target given that GAStech International has yet to make a statement to the press. Speculation about the motivation behind the kidnapping has also been rampant due to the recent GAStech IPO.

At this time no one has claimed responsibility for the kidnapping. Edvard Vann, a GAStech - Kronos security guard who was interrogated and released after 6 hours, indicated the Protectors of Kronos were suspected as being the perpetrators behind today's events.

A GAStech International senior security executive has been on site to support the investigation, aiding the Abila Police Department and Kronos Government officials.
"
1/20/2014,"Online,POK Kidnaps GAStech Employees,ABILA,Kronos,Protectors,Kronos,POK,GAStech,headquarters building,Edvard Vann,Abila,family name,POK",1,14-Jan,2014,"AVILA, Kronos - after a long day to be in conflict and the confused information of information continue being incompletos, only history is beginning to come clearly: a source of the government of Kronos has confirmed up to fourteen of GAStech that the international employees could be kidnapped in the headquarters of the company in Avila. 
It continues being much speculation with respect who was taken in the kidnapping. The speculation includes if or international president of GAStech and jr. of the CEO Sten Sanjorge were not the target since international GAStech still must make a declaration to the speculation of the pressure on the motivation behind the kidnapping also has been wild due to recent GAStech IPO. 
In this time nobody has demanded the responsibility of the kidnapping. Edvard Vann, a GAStech - they suspected to the protector security of Kronos that was interrogated and sent after 6 hours, indicated the protectors of Kronos like being the authors behind today events.
An international executive of the greater security of GAStech has been in the site to support the investigation, helping to the department of the police of Avila and to the officials of the government of Kronos. The 20 of January were annual corporative meeting of GAStech. In a certain point whereas the company officials transitioning of the main office to a reception of the government of Kronos the abductions happened. The information without confirming of a fire in the office could have served like distraction kidnapping them or at least to have contributed to the confusion during the event. The cars of the body of firemen of Avila were sent to the headquarters of GAStech - of Kronos around 10:00 this local time of Kronos in the morning to respond to a fire alarm.
"
1/19/2014,"International News,GAStech,Kronos Celebrate Partnership,ABILA,Kronos,GAStech,Ingrid Barranco,Ada Campo-Corrente,Orhan Strum,Willem Vasco-Pais,government officials,business meeting,headquarters building. Government spokesman,Rufus Drymiau,Sten Sanjorge Jr.,CEO,GAStech,Tethys,Kapelou,Capitol Building,20th year,Taxes,GAStech,infrastructure improvements,Abila,General Hospital,numerous schools",1,14-Jan,2014,"Modernization, 5:30 PM:  We have several relationships from employs you of GAStech that confirm a kidnapping have happened, but currently not are the information on who was implied.  The unofficial relationships from the police indicate that they believe that the protections of Kronos (POK) are behind the kidnapping and that they have asked the attendance for government with the search.  We have not received the information in a position to confirming the role of the POK in this kidnapping declared, but we notice that they are develops to you more and more violent in these last 5 years.News Desk"
